ark;page;seg_fusion;seg_scission;seg_colonnes;seg_ordre;seg_zone_manquee;seg_typage_bloc;_gravite;_fait
bpt6k5524090d;20;0;0;0;0;0;0;notable;1
bpt6k870222c;1;0;0;0;0;1;0;notable;1
bpt6k8711906g;62;0;0;0;0;0;0;severe;1
bpt6k6258473t;567;0;0;0;0;0;0;notable;1
bpt6k5583193;3;1;0;0;0;0;1;notable;1
bpt6k10409523;10;0;0;0;0;0;1;mineure;1
bpt6k8711906g;178;0;0;0;0;0;0;severe;1
bpt6k1041932n;2;1;0;0;0;0;0;notable;1
bpt6k575187s;5;1;0;1;0;1;0;notable;1
bpt6k8702189;4;0;0;0;0;0;0;mineure;1
bpt6k9362275;408;0;0;0;0;0;0;notable;1
bpt6k4701212p;13;1;0;0;0;1;0;notable;1
bpt6k5763888c;12;0;0;0;0;0;0;notable;1
bpt6k8711898c;167;0;0;0;0;0;0;severe;1
bpt6k8710026t;232;0;0;0;0;0;0;severe;1
bpt6k8711898c;159;0;0;0;0;0;1;severe;1
bpt6k558126p;6;0;0;0;1;1;0;severe;1
bpt6k56119308;2;0;0;0;0;1;0;notable;1
bpt6k6509381p;225;0;0;0;1;0;0;severe;1
bpt6k5749522;3;0;0;0;0;0;0;notable;1
bpt6k6703124k;2;0;0;0;0;0;0;severe;1
bpt6k5583193;6;0;0;1;1;0;0;severe;1
bpt6k4615958c;3;0;1;0;0;0;0;notable;1
bpt6k5216400;3;0;0;0;0;0;0;severe;1
bpt6k4701189w;28;0;0;0;0;1;0;notable;1
bpt6k521589g;2;0;0;0;0;0;0;severe;1
bpt6k6495917k;187;0;0;0;1;0;0;mineure;1
bpt6k512810m;1;0;0;0;1;0;0;notable;1
bpt6k1041880c;2;0;0;0;0;0;0;mineure;1
bpt6k6424218b;105;0;0;0;0;0;0;notable;1
bpt6k431059x;4;0;0;0;0;0;0;severe;1
bpt6k9362275;146;0;0;0;0;0;0;notable;1
bpt6k10409523;1;1;0;1;0;1;0;notable;1
bpt6k5763887z;8;0;0;0;0;1;0;notable;1
bpt6k1075034f;1;0;0;0;0;0;0;ras;1
