ark,doctype,period,date,title,source,ocr_rate
bpt6k512810m,presse,1821-1880,1868,La Presse,altomator-collections,0.8155
bpt6k3041989v,imprime,1450-1600,,imprimé 16e (Gallicorpora),Gallicorpora/HTR-imprime-16e-siecle,0.8124
bpt6k4311987,presse,1821-1880,1848,La Presse,altomator-collections,0.7748
bpt6k6703142h,presse,1881-1945,1897,La Fronde,altomator-collections,0.7669
bpt6k6703124k,presse,1881-1945,1897,La Fronde,altomator-collections,0.7641
bpt6k512767p,presse,1821-1880,1868,La Presse,altomator-collections,0.7553
bpt6k6551882q,imprime,1600-1820,,imprimé 17e (Gallicorpora),Gallicorpora/HTR-imprime-17e-siecle,0.75
bpt6k5128233,presse,1821-1880,1868,La Presse,altomator-collections,0.7489
bpt6k67031413,presse,1881-1945,1897,La Fronde,altomator-collections,0.7278
bpt6k431201s,presse,1821-1880,1848,La Presse,altomator-collections,0.7268
bpt6k430913s,presse,1821-1880,1848,La Presse,altomator-collections,0.7119
bpt6k512827m,presse,1821-1880,1868,La Presse,altomator-collections,0.707
bpt6k512671f,presse,1821-1880,1868,La Presse,altomator-collections,0.6867
bpt6k4615898j,presse,1881-1945,1918,L'Oeuvre,altomator-collections,0.6756
bpt6k67031235,presse,1881-1945,1897,La Fronde,altomator-collections,0.6749
bpt6k431058j,presse,1821-1880,1848,La Presse,altomator-collections,0.6442
bpt6k431059x,presse,1821-1880,1848,La Presse,altomator-collections,0.5004
bpt6k8711898c,imprime,1450-1600,,imprimé 16e (Gallicorpora),Gallicorpora/HTR-imprime-16e-siecle,0.42
bpt6k8711906g,imprime,1450-1600,,imprimé 16e (FoNDUE),FoNDUE-HTR/FONDUE-FR-PRINT-16,0.38
bpt6k5215802,presse,1821-1880,1875,Le Gaulois,altomator-collections,0.3559
bpt6k8710026t,imprime,1450-1600,,incunable 15e (Gallicorpora),Gallicorpora/HTR-incunable-15e-siecle,0.21
bpt6k8713143m,imprime,1450-1600,,incunable 15e (Gallicorpora),Gallicorpora/HTR-incunable-15e-siecle,0.18
bpt6k521589g,presse,1821-1880,1875,Le Gaulois,altomator-collections,0.1475
bpt6k521546z,presse,1821-1880,1875,Le Gaulois,altomator-collections,0.1077
bpt6k5216400,presse,1821-1880,1875,Le Gaulois,altomator-collections,0.0912
bpt6k521647n,presse,1821-1880,1875,Le Gaulois,altomator-collections,0.0101
