ark,doctype,period,date,title,source
bpt6k6109833c,presse,1821-1880,1855,Sylphide (La),altomator-collections
bpt6k6109820r,presse,1821-1880,1855,Sylphide (La),altomator-collections
bpt6k6127760v,presse,1821-1880,1855,Sylphide (La),altomator-collections
bpt6k61098178,presse,1821-1880,1855,Sylphide (La),altomator-collections
bpt6k6127771n,presse,1821-1880,1855,Sylphide (La),altomator-collections
bpt6k9362275,presse,1881-1945,1928,Vogue,altomator-collections
bpt6k10516302,imprime,1450-1600,,incunable 15e (Gallicorpora),Gallicorpora/HTR-incunable-15e-siecle
bpt6k1057722q,imprime,1450-1600,,incunable 15e (Gallicorpora),Gallicorpora/HTR-incunable-15e-siecle
bpt6k1057726c,imprime,1450-1600,,incunable 15e (Gallicorpora),Gallicorpora/HTR-incunable-15e-siecle
bpt6k1521441j,imprime,1450-1600,,incunable 15e (Gallicorpora),Gallicorpora/HTR-incunable-15e-siecle
bpt6k15223596,imprime,1450-1600,,incunable 15e (Gallicorpora),Gallicorpora/HTR-incunable-15e-siecle
bpt6k15260973,imprime,1450-1600,,incunable 15e (Gallicorpora),Gallicorpora/HTR-incunable-15e-siecle
bpt6k324358v,imprime,1450-1600,,incunable 15e (Gallicorpora),Gallicorpora/HTR-incunable-15e-siecle
bpt6k8710026t,imprime,1450-1600,,incunable 15e (Gallicorpora),Gallicorpora/HTR-incunable-15e-siecle
bpt6k8713143m,imprime,1450-1600,,incunable 15e (Gallicorpora),Gallicorpora/HTR-incunable-15e-siecle
btv1b8600143n,imprime,1450-1600,,incunable 15e (Gallicorpora),Gallicorpora/HTR-incunable-15e-siecle
btv1b8600164t,imprime,1450-1600,,incunable 15e (Gallicorpora),Gallicorpora/HTR-incunable-15e-siecle
btv1b8626772v,imprime,1450-1600,,incunable 15e (Gallicorpora),Gallicorpora/HTR-incunable-15e-siecle
btv1b8626779r,imprime,1450-1600,,incunable 15e (Gallicorpora),Gallicorpora/HTR-incunable-15e-siecle
bpt6k1514025q,imprime,1450-1600,,imprimé 16e (Gallicorpora),Gallicorpora/HTR-imprime-16e-siecle
bpt6k3041989v,imprime,1450-1600,,imprimé 16e (Gallicorpora),Gallicorpora/HTR-imprime-16e-siecle
bpt6k70048d,imprime,1450-1600,,imprimé 16e (Gallicorpora),Gallicorpora/HTR-imprime-16e-siecle
bpt6k70526g,imprime,1450-1600,,imprimé 16e (Gallicorpora),Gallicorpora/HTR-imprime-16e-siecle
bpt6k724151,imprime,1450-1600,,imprimé 16e (Gallicorpora),Gallicorpora/HTR-imprime-16e-siecle
bpt6k79040t,imprime,1450-1600,,imprimé 16e (Gallicorpora),Gallicorpora/HTR-imprime-16e-siecle
bpt6k8711898c,imprime,1450-1600,,imprimé 16e (Gallicorpora),Gallicorpora/HTR-imprime-16e-siecle
